152,Release 12,10278,CPMOAA,1566,11890,30718
784,Release 4,10247,ASHUIA,8053,13294,14629
1176,Release 16,10303,BNITSA,12072,13665,35890
1299,Release 19,10319,CPNEI,13328,11873,36492
136,Release 16,10289,CTIRAA,1421,12625,30682
307,Release 7,10251,ATNTI,3232,12811,31545
875,Release 15,10258,BMAUA,8988,13377,34399
1224,Release 4,10272,CUTRAA,12557,13728,36112
468,Release 8,10314,BDESS,4886,10809,32396
1758,Release 18,10280,AAMMNA,18098,14246,10241
17,Release 17,10331,BCOGR,172,12512,30000
1288,Release 8,10319,CPNEI,13210,13796,36483
661,Release 1,10267,CSUNI,6761,13177,33367
1868,Release 8,10277,AENBI,19290,14359,11439
814,Release 14,10246,CCNASA,8379,11507,22045
1108,Release 8,10333,AAOLE,11401,13617,10294
1137,Release 17,10293,BBATE,11660,13628,35692
739,Release 19,10307,ACURSA,7587,13236,33651
1137,Release 17,10293,BBATE,11657,13637,15673
326,Release 6,10291,BAORS,3428,12838,31639
1125,Release 5,10293,BBATE,11555,13620,35673
544,Release 4,10265,CPTUS,5651,13052,32749
670,Release 10,10267,CSUNI,6859,13160,33302
2,Release 2,10331,BCOGR,12,10742,30013
1604,Release 4,10283,CFSOS,16495,14106,38058
650,Release 10,10285,CCZES,6654,11529,33257
1306,Release 6,10261,CHNAS,13417,11659,36587
1692,Release 12,10300,CTBAA,17426,12045,38404
1203,Release 3,10316,AQINS,12362,13717,14386
1431,Release 11,10252,CNCYE,14742,13925,37147
534,Release 14,10315,CDIAIA,5538,13025,32633
834,Release 14,10256,CVERSA,8552,13322,34194
232,Release 12,10263,AAFAIA,2419,12720,31123
46,Release 6,10276,CSPAS,479,12552,30281
1243,Release 3,10253,LLAR,12766,12268,28139
517,Release 17,10318,ABYRAA,5390,13006,32599
1770,Release 10,10297,SOTS,18255,12422,29398
865,Release 5,10258,BMAUA,8894,13363,18097
1011,Release 11,10288,CGAIE,10371,11650,35044
1013,Release 13,10288,CGAIE,10392,13509,35013
412,Release 12,10282,BBSWI,4300,12912,32079
548,Release 8,10265,CPTUS,5690,13052,25267
78,Release 18,10295,CZNSIA,814,12579,27283
1935,Release 15,10043,CMULMA,19978,11766,39663
1958,Release 18,10053,CQSIRA,20227,11921,39741
1292,Release 12,10319,CPNEI,13252,11871,36408
1017,Release 17,10288,CGAIE,10427,13501,35032
1393,Release 13,10254,CFLOAA,14358,11619,22932
525,Release 5,10315,CDIAIA,5468,11565,32631
