AAFAIA-15258,220766,AAFAIA,10263,12737,31136
AAFAIA-15259,220767,AAFAIA,10263,12730,10179
AAFAIA-15260,220768,AAFAIA,10263,12737,31115
AAFAIA-15261,220769,AAFAIA,10263,12735,31148
AAFAIA-15263,220771,AAFAIA,10263,12720,31147
AAFAIA-15264,220772,AAFAIA,10263,12732,10162
AAFAIA-15266,220774,AAFAIA,10263,12724,31199
AAFAIA-15267,220775,AAFAIA,10263,12727,31174
AAFAIA-15270,220778,AAFAIA,10263,12723,31111
AAFAIA-15272,220780,AAFAIA,10263,12728,31196
AAFAIA-15274,220782,AAFAIA,10263,12722,10198
AAFAIA-15275,220783,AAFAIA,10263,12733,10183
AAFAIA-15277,220785,AAFAIA,10263,12737,31134
AAFAIA-15279,220787,AAFAIA,10263,12723,31160
AAFAIA-15281,220789,AAFAIA,10263,12730,31164
AAFAIA-15282,220790,AAFAIA,10263,10024,10184
AAFAIA-15283,220791,AAFAIA,10263,12726,31154
AAFAIA-15288,220796,AAFAIA,10263,12734,31108
AAFAIA-15289,220797,AAFAIA,10263,10024,10197
AAFAIA-15290,220798,AAFAIA,10263,12735,31167
AAFAIA-15291,220799,AAFAIA,10263,12737,10164
AAFAIA-15292,220800,AAFAIA,10263,12726,31122
AAFAIA-15293,220801,AAFAIA,10263,12724,31140
AAFAIA-15294,220802,AAFAIA,10263,10021,31181
AAFAIA-15295,220803,AAFAIA,10263,12733,31180
AAFAIA-15296,220804,AAFAIA,10263,12722,10177
AAFAIA-15300,220808,AAFAIA,10263,10021,31110
AAFAIA-15301,220809,AAFAIA,10263,12722,31197
AAFAIA-15303,220811,AAFAIA,10263,12724,10187
AAFAIA-15304,220812,AAFAIA,10263,12738,31137
AAFAIA-15308,220816,AAFAIA,10263,12733,31159
AAFAIA-15309,220817,AAFAIA,10263,12736,31105
AAFAIA-15310,220818,AAFAIA,10263,12736,10168
AAFAIA-15311,220819,AAFAIA,10263,12725,31129
AAFAIA-15313,220821,AAFAIA,10263,12723,10199
AAFAIA-15314,220822,AAFAIA,10263,10021,31159
AAFAIA-15315,220823,AAFAIA,10263,10024,31161
AAFAIA-15318,220826,AAFAIA,10263,12739,31137
AAFAIA-15321,220829,AAFAIA,10263,12721,31160
AAFAIA-15324,220832,AAFAIA,10263,12721,31169
AAFAIA-15326,220834,AAFAIA,10263,12729,10194
AAFAIA-15327,220835,AAFAIA,10263,12733,10198
AAFAIA-15329,220837,AAFAIA,10263,12729,10179
AAFAIA-15330,220838,AAFAIA,10263,12728,10167
AAFAIA-15332,220840,AAFAIA,10263,12723,10177
AAFAIA-15333,220841,AAFAIA,10263,12728,10176
AAFAIA-15334,220842,AAFAIA,10263,10020,31148
AAFAIA-15335,220843,AAFAIA,10263,12735,31149
AAFAIA-15336,220844,AAFAIA,10263,12727,31128
AAFAIA-15337,220845,AAFAIA,10263,12720,31108
AAFAIA-15339,220847,AAFAIA,10263,10021,31155
AAFAIA-15340,220848,AAFAIA,10263,10021,31124
AAFAIA-15341,220849,AAFAIA,10263,12733,31125
AAFAIA-15343,220851,AAFAIA,10263,12725,10175
AAFAIA-15344,220852,AAFAIA,10263,12725,10162
AAFAIA-15345,220853,AAFAIA,10263,12739,31136
AAFAIA-15346,220854,AAFAIA,10263,12726,31108
AAFAIA-15348,220856,AAFAIA,10263,12722,10164
AAFAIA-15349,220857,AAFAIA,10263,12721,31168
AAFAIA-15354,220862,AAFAIA,10263,12729,31192
AAFAIA-15355,220863,AAFAIA,10263,12735,31167
AAFAIA-15356,220864,AAFAIA,10263,12720,31198
AAFAIA-15358,220866,AAFAIA,10263,12731,31171
AAFAIA-15361,220869,AAFAIA,10263,12735,31109
AAFAIA-15362,220870,AAFAIA,10263,12733,31185
AAFAIA-15365,220873,AAFAIA,10263,12726,10191
AAFAIA-15367,220875,AAFAIA,10263,10022,31100
AAFAIA-15368,220876,AAFAIA,10263,12732,10176
AAFAIA-15369,220877,AAFAIA,10263,10021,31170
AAFAIA-15371,220879,AAFAIA,10263,12735,31180
AAFAIA-15372,220880,AAFAIA,10263,12722,10173
AAFAIA-15373,220881,AAFAIA,10263,12720,31129
AAFAIA-15374,220882,AAFAIA,10263,12723,31171
AAFAIA-15375,220883,AAFAIA,10263,12731,10168
AAFAIA-15377,220885,AAFAIA,10263,12726,31171
AAFAIA-15378,220886,AAFAIA,10263,12735,31110
AAFAIA-15379,220887,AAFAIA,10263,12731,31198
AAFAIA-15380,220888,AAFAIA,10263,12726,31112
AAFAIA-15381,220889,AAFAIA,10263,12736,31125
AAFAIA-15382,220890,AAFAIA,10263,12728,31173
AAFAIA-15383,220891,AAFAIA,10263,10021,31188
AAFAIA-15384,220892,AAFAIA,10263,10021,10185
AAFAIA-15385,220893,AAFAIA,10263,12726,31144
AAFAIA-15386,220894,AAFAIA,10263,10020,31173
AAFAIA-15387,220895,AAFAIA,10263,12725,31191
