1323,CCLEA Release 3,10324,CCLEA,19193,11503,36652
1456,KANS Release 16,10270,KANS,21069,12251,28020
445,CMATM Release 5,10298,CMATM,6492,12956,32244
1789,BIIZIA Release 9,10312,BIIZIA,25749,14292,38920
1441,KANS Release 1,10270,KANS,20839,13949,37279
1161,BNITSA Release 1,10303,BNITSA,16778,13678,35806
1561,BBII Release 1,10243,BBII,22543,14076,20293
1808,BHELIA Release 8,10292,BHELIA,26041,14307,17542
801,CCNASA Release 1,10246,CCNASA,11680,13304,34005
823,CVERSA Release 3,10256,CVERSA,11987,13324,34171
1245,LLAR Release 5,10253,LLAR,17993,13755,36241
1712,CLNUS Release 12,10264,CLNUS,24681,14217,38558
201,APAER Release 1,10259,APAER,2931,10525,31007
1048,CVNSI Release 8,10304,CVNSI,15259,12095,35283
715,BPETS Release 15,10266,BPETS,10385,13200,33590
1302,CHNAS Release 2,10261,CHNAS,18865,11658,23277
756,AGTISA Release 16,10328,AGTISA,10998,13241,33710
1190,AMOSSA Release 10,10311,AMOSSA,17203,13695,35970
551,CPTUS Release 11,10265,CPTUS,8074,13056,32798
459,CMATM Release 19,10298,CMATM,6706,12956,32244
1865,AENBI Release 5,10277,AENBI,26845,14364,39371
1172,BNITSA Release 12,10303,BNITSA,16944,13676,35834
1785,BIIZIA Release 5,10312,BIIZIA,25666,14288,17633
567,SECI Release 7,10313,SECI,8319,13069,32814
84,AEBII Release 4,10250,AEBII,1228,12590,30484
1445,KANS Release 5,10270,KANS,20885,12251,37285
328,BAORS Release 8,10291,BAORS,4824,12823,31619
1737,AABIS Release 17,10448,AABIS,24969,14225,10359
1702,CLNUS Release 2,10264,CLNUS,24540,14205,38564
1751,AAMMNA Release 11,10280,AAMMNA,25179,14245,38706
244,CBSSIA Release 4,10325,CBSSIA,3567,11467,31242
1326,CCLEA Release 6,10324,CCLEA,19236,13825,36639
1618,CFSOS Release 18,10283,CFSOS,23246,11614,38077
488,CPIFIA Release 8,10322,CPIFIA,7129,12987,32480
1121,BBATE Release 1,10293,BBATE,16231,13629,35676
1329,CCLEA Release 9,10324,CCLEA,19288,13818,36658
1165,BNITSA Release 5,10303,BNITSA,16840,13677,35844
1921,CMULMA Release 1,10043,CMULMA,27620,14426,39656
426,OUNS Release 6,10308,OUNS,6197,12933,32122
1321,CCLEA Release 1,10324,CCLEA,19176,13826,22028
208,APAER Release 8,10259,APAER,3028,12719,14238
1088,BXOPS Release 8,10269,BXOPS,15779,13579,35403
1919,AHMOIA Release 19,10041,AHMOIA,27591,14401,39540
1052,CVNSI Release 12,10304,CVNSI,15321,13558,35228
14,BCOGR Release 14,10331,BCOGR,179,10743,15936
968,CMHOIA Release 8,10241,CMHOIA,14062,13467,24431
497,CPIFIA Release 17,10322,CPIFIA,7243,12993,32458
1038,BCRNI Release 18,10337,BCRNI,15152,13534,35179
75,CZNSIA Release 15,10295,CZNSIA,1081,12573,27313
1547,CPGUS Release 7,10326,CPGUS,22371,14052,37772
1176,BNITSA Release 16,10303,BNITSA,16992,13678,18483
1478,CJIAEA Release 18,10310,CJIAEA,21330,13977,23735
352,CTNNIA Release 12,10279,CTNNIA,5167,12855,31790
1985,CIULM Release 5,10257,CIULM,28600,14486,39973
157,CPMOAA Release 17,10278,CPMOAA,2307,12656,30791
1135,BBATE Release 15,10293,BBATE,16409,13622,35618
515,ABYRAA Release 15,10318,ABYRAA,7526,13005,32571
1424,CNCYE Release 4,10252,CNCYE,20612,13923,37172
409,BBSWI Release 9,10282,BBSWI,5930,12915,15744
1560,CPGUS Release 20,10326,CPGUS,22535,11862,37772
1121,BBATE Release 1,10293,BBATE,16232,13631,15653
735,ACURSA Release 15,10307,ACURSA,10677,10136,33677
374,OENS Release 14,10323,OENS,5508,12877,31870
151,CPMOAA Release 11,10278,CPMOAA,2212,12656,25140
1366,RGIA Release 6,10317,RGIA,19810,13863,36850
1559,CPGUS Release 19,10326,CPGUS,22533,14039,37778
1420,AGBAS Release 20,10273,AGBAS,20561,13912,37094
1134,BBATE Release 14,10293,BBATE,16380,13629,35632
1000,BFNTAA Release 20,10320,BFNTAA,14538,13485,34963
1488,BRIGSA Release 8,10240,BRIGSA,21459,13997,37407
1686,CTBAA Release 6,10300,CTBAA,24315,14188,38461
1781,BIIZIA Release 1,10312,BIIZIA,25610,14282,17626
1767,SOTS Release 7,10297,SOTS,25411,12423,29376
741,AGTISA Release 1,10328,AGTISA,10762,10245,33718
989,BFNTAA Release 9,10320,BFNTAA,14383,13496,34946
122,CTIRAA Release 2,10289,CTIRAA,1830,12632,30674
48,CSPAS Release 8,10276,CSPAS,647,11966,25729
369,OENS Release 9,10323,OENS,5453,12873,31862
222,AAFAIA Release 2,10263,AAFAIA,3247,10021,31146
1508,THAR Release 8,10245,THAR,21759,14001,37591
553,CPTUS Release 13,10265,CPTUS,8109,13057,32775
171,CHPISA Release 11,10255,CHPISA,2495,12675,30858
969,CMHOIA Release 9,10241,CMHOIA,14077,13472,34899
102,AOLE Release 2,10321,AOLE,1522,12610,30575
151,CPMOAA Release 11,10278,CPMOAA,2208,12642,30760
416,BBSWI Release 16,10282,BBSWI,6022,10717,32022
1242,LLAR Release 2,10253,LLAR,17961,13757,36203
502,ABYRAA Release 2,10318,ABYRAA,7327,13003,32583
1502,THAR Release 2,10245,THAR,21665,14003,37579
1186,AMOSSA Release 6,10311,AMOSSA,17148,13683,13132
765,CSPOAA Release 5,10275,CSPOAA,11110,13279,33885
1398,CFLOAA Release 18,10254,CFLOAA,20270,11619,36937
1784,BIIZIA Release 4,10312,BIIZIA,25645,14277,38908
949,CCSOAA Release 9,10294,CCSOAA,13768,13439,34798
1185,AMOSSA Release 5,10311,AMOSSA,17131,13692,35979
201,APAER Release 1,10259,APAER,2920,12706,31080
1108,AAOLE Release 8,10333,AAOLE,16078,10038,35545
799,ASHUIA Release 19,10247,ASHUIA,11647,10576,33960
1558,CPGUS Release 18,10326,CPGUS,22516,14043,37753
1257,LLAR Release 17,10253,LLAR,18213,13750,28124
228,AAFAIA Release 8,10263,AAFAIA,3344,12720,31136
911,BOENXA Release 11,10302,BOENXA,13220,13400,34516
74,CZNSIA Release 14,10295,CZNSIA,1059,12571,30357
755,AGTISA Release 15,10328,AGTISA,10976,13241,11975
53,CSPAS Release 13,10276,CSPAS,753,12548,30290
358,CTNNIA Release 18,10279,CTNNIA,5272,12850,31717
834,CVERSA Release 14,10256,CVERSA,12149,13329,34156
1953,CQSIRA Release 13,10053,CQSIRA,28123,11921,39798
180,CHPISA Release 20,10255,CHPISA,2641,12664,30804
68,CZNSIA Release 8,10295,CZNSIA,965,12162,30370
1120,AAOLE Release 20,10333,AAOLE,16213,10038,35551
1136,BBATE Release 16,10293,BBATE,16427,10707,35604
1340,CCLEA Release 20,10324,CCLEA,19451,13825,36604
1010,CGAIE Release 10,10288,CGAIE,14702,13500,35056
1309,CHNAS Release 9,10261,CHNAS,18989,11656,23241
1249,LLAR Release 9,10253,LLAR,18064,13750,28124
927,AEDEIA Release 7,10262,AEDEIA,13440,13427,34611
802,CCNASA Release 2,10246,CCNASA,11705,13306,34005
1371,RGIA Release 11,10317,RGIA,19888,12394,36862
1082,BXOPS Release 2,10269,BXOPS,15711,13581,35418
815,CCNASA Release 15,10246,CCNASA,11878,13312,34024
1461,CJIAEA Release 1,10310,CJIAEA,21143,13974,37326
1202,AQINS Release 2,10316,AQINS,17372,13715,36088
1950,CQSIRA Release 10,10053,CQSIRA,28074,14456,39772
720,BPETS Release 20,10266,BPETS,10426,11111,18889
1,BCOGR Release 1,10331,BCOGR,4,12517,15933
502,ABYRAA Release 2,10318,ABYRAA,7334,10070,32596
632,AACIMA Release 12,10299,AACIMA,9239,13132,33147
1988,CIULM Release 8,10257,CIULM,28624,14484,39964
1135,BBATE Release 15,10293,BBATE,16416,13619,15667
1211,AQINS Release 11,10316,AQINS,17511,13699,36041
771,CSPOAA Release 11,10275,CSPOAA,11195,12008,33878
1208,AQINS Release 8,10316,AQINS,17475,10545,36082
717,BPETS Release 17,10266,BPETS,10398,11112,18915
1445,KANS Release 5,10270,KANS,20902,13946,37212
537,CDIAIA Release 17,10315,CDIAIA,7870,13030,32643
541,CPTUS Release 1,10265,CPTUS,7917,13057,25265
830,CVERSA Release 10,10256,CVERSA,12110,13320,34139
