CHNAS-5645,196617,CHNAS,10261,13816,36597
ATNTI-14519,121441,ATNTI,10251,10633,15058
CSENX-7761,74883,CSENX,10248,11986,41061
BPAYIA-9171,282149,BPAYIA,10271,11135,19085
CVERSA-9864,163289,CVERSA,10256,12102,34175
CSPOAA-10444,310108,CSPOAA,10275,13279,40778
CDIAIA-12724,677904,CDIAIA,10315,13028,32643
CIULM-897,164521,CIULM,10257,11701,39947
CGAIE-7849,417593,CGAIE,10288,11653,23236
SOTS-868,511457,SOTS,10297,14274,29384
MOIS-2795,856744,MOIS,10336,14094,37939
OENS-14442,762138,OENS,10323,12864,31816
ATEBA-14847,89738,ATEBA,10249,12794,40284
CCZES-11765,395921,CCZES,10285,13156,33275
MOIS-2646,856595,MOIS,10336,14088,37979
OENS-14254,761950,OENS,10323,12877,28884
AEDEIA-8691,205367,AEDEIA,10262,13435,11484
CVEGSA-10812,797999,CVEGSA,10327,12082,33438
AEBII-16277,106542,AEBII,10250,12592,11365
BNITSA-6076,559561,BNITSA,10303,13666,35873
CSENX-7285,74407,CSENX,10248,13574,35386
AMLISA-16279,509898,AMLISA,10296,12526,40035
AMOSSA-6323,636730,AMOSSA,10311,13693,35955
CVEGSA-10989,798176,CVEGSA,10327,13183,33452
MOIS-2914,856863,MOIS,10336,14088,41587
ASHUIA-10712,67115,ASHUIA,10247,13281,40790
ACURSA-10866,609240,ACURSA,10307,13226,40729
CAOESA-2317,626021,CAOESA,10309,14149,21094
CSPAS-16381,326934,CSPAS,10276,12559,25733
BFNTAA-8355,717584,BFNTAA,10320,13483,34981
CSENX-6998,74120,CSENX,10248,13574,41077
CCZES-11874,396030,CCZES,10285,11527,40648
BWTZI-5410,299018,BWTZI,10274,13764,36389
AQINS-6617,684868,AQINS,10316,13718,14387
CGAIE-7608,417352,CGAIE,10288,13517,35003
BPAYIA-9269,282247,BPAYIA,10271,13384,34491
CCNASA-10361,56125,CCNASA,10246,13300,22075
AEDEIA-8076,204752,AEDEIA,10262,10186,34605
SOTS-1077,511666,SOTS,10297,14259,29383
AAMMNA-1380,361169,AAMMNA,10280,14257,38790
CQSIRA-638,969229,CQSIRA,10053,11920,25367
SOTS-1116,511705,SOTS,10297,14259,29375
CAENAA-9959,444514,CAENAA,10290,13358,21355
CBSSIA-15000,783107,CBSSIA,10325,12759,21751
CVERSA-9834,163259,CVERSA,10256,13321,26829
AHMOIA-942,962547,AHMOIA,10041,14412,39511
CAENAA-9780,444335,CAENAA,10290,13350,40851
BAORS-14472,459101,BAORS,10291,12820,31634
BRIGSA-3505,13504,BRIGSA,10240,13996,19738
AENBI-1155,328594,AENBI,10277,14371,41874
CGAIE-8351,418095,CGAIE,10288,13507,41000
BRDUAA-16056,41880,BRDUAA,10244,12682,30908
